SiO2 melt, Natom=300                                           37    1
    300  2      1000      1000      1000   21  200    1    0 1001 1001      
  O     SI  
   200   100
     1   201
   200   300
    300.00   -1.0000    300.00    .00010    .00010    .00010
 .0648592 .2663370 .8964102 5.1049714.9701405.011716   .065524  .272916  .892992
 .7525448 .3471056 .3116287 5.0773994.9278694.866952   .746562  .344376  .327861
 .0924275 .1695166 .6547007 5.0366194.9469965.034240   .094011  .163948  .657939
 .1536927 .0467664 .1489392 4.9611675.0272325.058301   .150962  .044829  .146818
 .6640542 .6953043 .4008534 5.0663674.8953644.949228   .677621  .696568  .392848
 .0154562 .9369448 .5432953 4.9982074.9837225.108946   .023886  .935617  .543770
 .4268164 .5508995 .0464245 5.0808664.9865324.980597   .422395  .546371  .042065
 .1943868 .9340311 .5904840 4.8716294.9860794.897545   .190868  .941820  .590306
 .2271138 .2706618 .3687598 5.0444394.8945145.133062   .218727  .264587  .374934
 .6963814 .5895009 .5300700 5.0474805.0038085.012766   .698866  .581751  .520442
 .7147057 .5369059 .0343814 4.9265325.0189905.041728   .714213  .530474  .036007
 .3756473 .5552315 .8769217 4.9275445.0159214.951573   .378340  .546542  .878064
 .7850192 .2298494 .9265963 5.0176375.0224254.860962   .783922  .235373  .925352
 .8106796 .5892198 .1571627 4.9962884.9717964.973744   .804008  .580225  .175013
 .3014487 .6928895 .4610436 4.9368265.0148855.041379   .302086  .691030  .470755
 .5615082 .3569429 .1200288 4.8540714.9600214.938201   .555620  .348761  .119055
 .0870411 .8505431 .6894758 4.9993125.0346564.963438   .089464  .851271  .692460
 .5704102 .5372241 .0233341 5.0635385.0474845.010482   .568986  .532625  .022229
 .6746315 .2861148 .1885406 5.0707925.0510345.107218   .677876  .285189  .187453
 .2967382 .5193874 .4624469 4.9678004.9504524.992116   .299360  .522861  .468648
 .8171279 .2932975 .0775881 4.8976255.0404354.989435   .818057  .293772  .074838
 .3265308 .6561722 .9991971 5.0344344.9883314.990222   .322062  .655764  .991002
 .6117537 .3914507 .2895080 4.9659145.1297195.139939   .603882  .380350  .291687
 .6505593 .9830062 .8706543 4.9667125.0595525.109088   .652754  .967234  .872529
 .0018003 .3823113 .4831965 5.0510365.1803415.096705   .008925  .385828  .474938
 .2788453 .7700351 .2687481 5.0427714.9846724.927527   .276448  .777935  .258219
 .8357056 .6446234 .7669357 4.8703804.9909395.091237   .832650  .657583  .774786
 .0969237 .5919379 .8650238 5.0052515.1222515.014751   .097564  .586938  .869398
 .0341860 .2933608 .3454716 4.9086584.9708634.847116   .035335  .306049  .332499
 .3328101 .2853432 .2614449 4.9358325.0886145.011224   .317129  .298637  .257634
 .4552466 .3873331 .9406125 5.1369955.1514245.078138   .453427  .382568  .949069
 .8829722 .5100022 .8552472 4.8948825.0432225.009955   .881361  .519609  .835761
 .8862885 .4091459 .3174730 5.0774554.9868784.977255   .881045  .412194  .318876
 .4587903 .0849290 .4833966 4.9117425.0876044.999357   .453228  .071576  .490951
 .9698713 .7689651 .7177681 5.0089674.9225704.928998   .969145  .756999  .717909
 .9740970 .5434786 .5195848 5.0485454.9243784.880976   .982354  .543987  .514271
 .2855712 .1192067 .7339022 4.8896985.0980884.946534   .287411  .104850  .737118
 .3341597 .4582423 .2359346 5.0595094.9099355.124181   .339958  .472753  .226463
 .0733426 .7496679 .8311626 5.0508544.9193314.934463   .077263  .738494  .820747
 .8876060 .8629326 .4638118 4.9139455.0445474.943629   .899996  .857727  .457660
 .3917353 .2028251 .9316810 4.9691004.8479885.034139   .404890  .198472  .930495
 .7537689 .2376651 .0280152 4.8778534.9392934.877020   .754633  .244766  .023398
 .3191076 .9619754 .1017390 4.9797964.8214345.102784   .321236  .967335  .101042
 .2049015 .7914120 .3193419 5.0272075.0287574.971454   .206422  .796108  .317467
 .2136060 .8395171 .0156223 4.9736555.0850614.962572   .207693  .839628  .015369
 .7280529 .5462937 .1389134 4.9680874.9780784.970775   .718988  .539852  .146090
 .7941498 .0583192 .0593012 5.0764434.8596115.011457   .785144  .060925  .053779
 .4900526 .4031061 .1651171 4.9988895.0182755.142621   .484578  .391289  .165213
 .9461701 .7615630 .1801647 4.9494744.8930345.056551   .941796  .762710  .185544
 .6439830 .5731098 .9786980 5.0302774.9975295.044179   .643180  .573083  .976944
 .8790145 .9426318 .8266092 4.9459525.0382945.028466   .885498  .946751  .824673
 .0510213 .0937232 .7075139 5.0672464.9618965.017951   .055730  .095101  .717087
 .6628428 .7549093 .9229969 4.9161454.9939434.961949   .662794  .760021  .930625
 .6892589 .3693927 .2424724 5.0563444.9464004.876505   .684417  .368443  .248383
 .8527135 .3209048 .5263168 5.0156404.9742635.161683   .863792  .323974  .527497
 .5146620 .8597712 .6520761 5.0580914.9662005.090137   .510260  .856721  .656208
 .0065343 .2184260 .8318768 4.9828685.0070524.958357   .008647  .221111  .834214
 .2174210 .4289362 .9805819 5.1075305.0236425.032041   .218131  .439610  .985134
 .8564142 .7753233 .5066092 5.0157135.0833844.972913   .872787  .767488  .505906
 .6472311 .5044172 .5176759 4.9898395.0065845.021516   .646805  .503830  .506966
 .0498749 .0065547 .4726348 4.9747504.9407924.883880   .056686  .006793  .478397
 .6299208 .7661031 .3386681 4.9501814.9598675.123331   .627807  .762367  .337558
 .5123912 .0435983 .4138444 5.0974975.0280604.991012   .510283  .035668  .422311
 .6828829 .8431723 .1798178 5.0341315.0197464.919602   .674772  .856869  .190125
 .2970799 .0330337 .3664044 5.0572635.0159315.025378   .294841  .041254  .353471
 .9164188 .4204691 .8297829 5.0078874.9810315.021014   .913252  .428443  .819603
 .0466026 .6716705 .8936812 4.9870654.9741965.013651   .048467  .671227  .888720
 .1473366 .9264096 .6831302 4.9226094.9657934.977552   .146745  .927929  .680071
 .2267358 .0742639 .2045544 5.0024734.9723834.949817   .220851  .080323  .197775
 .9509688 .6138054 .4467073 4.9910125.0521874.986455   .952903  .609762  .439784
 .9356962 .0907397 .9309513 5.0287934.9747854.988355   .932048  .099180  .929874
 .0263716 .6171968 .0722258 5.0879675.0039704.977803   .019057  .623238  .076405
 .5989498 .6826309 .1758586 5.0592055.0129474.951264   .594818  .685937  .171793
